selection_rank,sample_id,clip_name,source_split,parent_group_id,speaker_pseudo_id,text_id,text_hash
18,common_voice_ru_v24:common_voice_ru_20177512,common_voice_ru_20177512.mp3,test,common_voice_ru_v24:client:d727f39481cfe6f41f9fa20d132ddfcd926973b0f70427eeae2a66fbce538f23f00a1cfe7760816733cf120fcbf1770e67c8a892a5050650dd1f92af48540791,common_voice_ru_v24:client:d727f39481cfe6f41f9fa20d132ddfcd926973b0f70427eeae2a66fbce538f23f00a1cfe7760816733cf120fcbf1770e67c8a892a5050650dd1f92af48540791,ef2fdf34ce899b25409c9a7ab088fca27243573be85ce2107475d75708c40cc4,407dd4e01aaaafbb3473c37d1d288370828409bcc72e38c3d22eb526ba3fc097
19,common_voice_ru_v24:common_voice_ru_23556099,common_voice_ru_23556099.mp3,test,common_voice_ru_v24:client:eeb7148a961b368112e720507b74968e0de18239bbfef53fc4ab738526bf1bd347185d12c4a48a794d6a18ecf09ab6b667905566fc4e98e9d0904375eac1c4b4,common_voice_ru_v24:client:eeb7148a961b368112e720507b74968e0de18239bbfef53fc4ab738526bf1bd347185d12c4a48a794d6a18ecf09ab6b667905566fc4e98e9d0904375eac1c4b4,5c5dd3e4e22b3d759e0348ae5952ee976ba359320af39f2911d3662ac4b8f719,d30bcc2c50dbcae1eeaa92548c28616f7f8014dd04c5b4c035b84d13191b824c
20,common_voice_ru_v24:common_voice_ru_31506078,common_voice_ru_31506078.mp3,test,common_voice_ru_v24:client:6114554ae7a5f79031f2a02e5681b710d598fb505016fd281b5266c55f82a0282526fafdddc4c66ae121dc6ac324fc8b7b004731ae2cee8831e5b736878cd35d,common_voice_ru_v24:client:6114554ae7a5f79031f2a02e5681b710d598fb505016fd281b5266c55f82a0282526fafdddc4c66ae121dc6ac324fc8b7b004731ae2cee8831e5b736878cd35d,9acbb5e15c24c18da51fc3fe1fb2f3e7ddc192ce0a04c9135df468079551ece1,17808c42e7306c9566474bcdf60c4b73d913fcbd39aa152fbcaddbb3f6a9b413
21,common_voice_ru_v24:common_voice_ru_19508072,common_voice_ru_19508072.mp3,test,common_voice_ru_v24:client:1b0d0c0cfa92b2f935474fb3b7e52976873e21d761256f06a16aa94e3021ba66b594e6530309d990f56155a0f0d130e0bf9147fde7bd79544c16d4695a90061c,common_voice_ru_v24:client:1b0d0c0cfa92b2f935474fb3b7e52976873e21d761256f06a16aa94e3021ba66b594e6530309d990f56155a0f0d130e0bf9147fde7bd79544c16d4695a90061c,5925d2767e2bbefdc077c2797e8f1cbb12e0a9b6b2a023dca7059791be861360,b0900f82e8591926aecef5e2fccdfa00c7f024262014d979cb99f2c84aa13e47
22,common_voice_ru_v24:common_voice_ru_31484806,common_voice_ru_31484806.mp3,test,common_voice_ru_v24:client:ad90209856c7ea016f7afe487362e5e2462b3527512d28728eca465d0089dc75b323f93cc4e060eaa56a55e527bcebabd3cd5e0fa59b7a0417a5d476bc89c7a1,common_voice_ru_v24:client:ad90209856c7ea016f7afe487362e5e2462b3527512d28728eca465d0089dc75b323f93cc4e060eaa56a55e527bcebabd3cd5e0fa59b7a0417a5d476bc89c7a1,9bada39b9a85877906508e8122e6844ce154681e07f1e72352f630b732da9361,f76e3cfbd354055eb0f6d4abd2f28bbdb462a07388736964258dac7b79fe6a96
23,common_voice_ru_v24:common_voice_ru_18883586,common_voice_ru_18883586.mp3,test,common_voice_ru_v24:client:3d2306216fa14511586cbf46afc9af8464bd86fb636e9869e20153af7218bd1bc6166dbc6f3806b8c0c7e4e767219c7ff3f3d837af7ab2a925527e432afb157b,common_voice_ru_v24:client:3d2306216fa14511586cbf46afc9af8464bd86fb636e9869e20153af7218bd1bc6166dbc6f3806b8c0c7e4e767219c7ff3f3d837af7ab2a925527e432afb157b,b0148ed23a23ea193212d5a40f3ef49894a69f242ac0dfb2869d55a4eb3f5999,6dd2fcc725dddd09bff7fb671f06a0c7f7d5ea10ad861e9d7df066d606bc3b73
24,common_voice_ru_v24:common_voice_ru_25474679,common_voice_ru_25474679.mp3,test,common_voice_ru_v24:client:8fdc72f53cae663ce64aa615314c27f9524b02f61e0b8b5c4a1f62339b7488ee7c92f532d2410d87f8737d8281d327d32615e511f54af44117ed589c71e11e9f,common_voice_ru_v24:client:8fdc72f53cae663ce64aa615314c27f9524b02f61e0b8b5c4a1f62339b7488ee7c92f532d2410d87f8737d8281d327d32615e511f54af44117ed589c71e11e9f,15721ac6ba0794f9cb439a181900fd60ca8d1e856be25c0c6ad7948dd64330ba,3edf55c39890d79be8210bcbabf383357fb8a491b98d7b8c9788c2f23925acec
25,common_voice_ru_v24:common_voice_ru_29107259,common_voice_ru_29107259.mp3,test,common_voice_ru_v24:client:3d09856f3f5d5a5f1927234f0866ce81ee686de808fc62711198b04956bdc4015a68e04f40fa07bf7eec73c4c18d8a25e5298e3f743518d21e0332112b7fbfa0,common_voice_ru_v24:client:3d09856f3f5d5a5f1927234f0866ce81ee686de808fc62711198b04956bdc4015a68e04f40fa07bf7eec73c4c18d8a25e5298e3f743518d21e0332112b7fbfa0,98fcb1b324041ce2c2cfa17fec971ad5cbd0a3bec4b44663f071f7c25d59b57f,21fa8eac4e3b259e7dd159d088a47223ca9babf4589f53996d167fb0e93db7b8
26,common_voice_ru_v24:common_voice_ru_41961959,common_voice_ru_41961959.mp3,test,common_voice_ru_v24:client:a7d273916c62a2bf6d433664ad6f52b4ee29894f9b25828709d5d88b5c07ead3a706c8671041607cf54d1170ae124b71cec40fd53af22c7aac6a6a6c91822859,common_voice_ru_v24:client:a7d273916c62a2bf6d433664ad6f52b4ee29894f9b25828709d5d88b5c07ead3a706c8671041607cf54d1170ae124b71cec40fd53af22c7aac6a6a6c91822859,76b787e139024d71849001130fa37bbad80cafe02ad59d107bd1e6c7a1ad743c,0803fe1f49cc9bae6873c37747bdf17fd5922e6ace734eacdd9487933dcf982b
27,common_voice_ru_v24:common_voice_ru_26853053,common_voice_ru_26853053.mp3,test,common_voice_ru_v24:client:ceb591ee6f33d3d4b2b4df22f0e8ee502a96e5d0cb4baa39753a2db359e83824d774136f431eb08104eefc32c3949e40428d2926b30693024f349c9f89161a66,common_voice_ru_v24:client:ceb591ee6f33d3d4b2b4df22f0e8ee502a96e5d0cb4baa39753a2db359e83824d774136f431eb08104eefc32c3949e40428d2926b30693024f349c9f89161a66,9c6501cf5ddc7c413ae07b3562254a967da7d247f5fe6c98107db573f67b6363,3833dfcacf3d494d8c8b577fc937ff5edee24d6af1488ce7be7bf6ac6b068cbc
28,common_voice_ru_v24:common_voice_ru_27095493,common_voice_ru_27095493.mp3,test,common_voice_ru_v24:client:7cd7c1a4a8150f4bca362ca0f3396dfb77f5c879ddfdbe0909fde2cbaab2b19aee02bf98a05e32c288cdb3a6e060bef3068ce2b9379de10fb634559e168d34f8,common_voice_ru_v24:client:7cd7c1a4a8150f4bca362ca0f3396dfb77f5c879ddfdbe0909fde2cbaab2b19aee02bf98a05e32c288cdb3a6e060bef3068ce2b9379de10fb634559e168d34f8,4209a2049d82f1ae5cafff9c9c8e386139b12311168780cbf2845450e1997e65,86f32276f2133ee1f93780647557c85d24a3f302924b187ae62bbdc573dec2c1
29,common_voice_ru_v24:common_voice_ru_25692704,common_voice_ru_25692704.mp3,test,common_voice_ru_v24:client:3e5ef80fcf7ece2f445592db37cc354a0bf05829340509aca8d60a51891f72f139168ecd06ffbaaf5807a9ca63377f6cc0fd6d742df1f4466982e0f597d3e837,common_voice_ru_v24:client:3e5ef80fcf7ece2f445592db37cc354a0bf05829340509aca8d60a51891f72f139168ecd06ffbaaf5807a9ca63377f6cc0fd6d742df1f4466982e0f597d3e837,2d47a9d2ff2fb4df5fe89064f0b0748280b8e4ccea7bb12fa9237f498df9b373,f113d894ba20da9480b39f8be4a6b6681251b55cf34bb8d7c9de8f8424b318b2
30,common_voice_ru_v24:common_voice_ru_26879339,common_voice_ru_26879339.mp3,test,common_voice_ru_v24:client:1fb963a138a13abe1b078115b88ee118f782d29fef9878e35e141210a28c5b45328ac208312ed54fe0e8f50bf051ce34001aaa8b7eb7df1cacd6a6b9ce7eab85,common_voice_ru_v24:client:1fb963a138a13abe1b078115b88ee118f782d29fef9878e35e141210a28c5b45328ac208312ed54fe0e8f50bf051ce34001aaa8b7eb7df1cacd6a6b9ce7eab85,a0aa337fe178cd1eaa4094db731b4d93f3c414c02d573b79a5fa6b69638b41a3,1d9f8f4e277a93e4e0efda5d37213c886464dc46930ea7464b2fa3eda6eb1e9f
31,common_voice_ru_v24:common_voice_ru_31783486,common_voice_ru_31783486.mp3,test,common_voice_ru_v24:client:1447852671460ce20dd3004aabd8cfd8fb9a273cbae168495f1b74b3b7b78ba3d706b11ff72a11e68470fc95083ad19168ee57155f0a0b2abbc2f6301c6154e7,common_voice_ru_v24:client:1447852671460ce20dd3004aabd8cfd8fb9a273cbae168495f1b74b3b7b78ba3d706b11ff72a11e68470fc95083ad19168ee57155f0a0b2abbc2f6301c6154e7,bc3982b18d921905d36d65c75e018196689f1e648fbe066658c4addb23be2841,0dd897e79bb3659d4c23e45109cfe9b4f80913c402aa23aa1c4fbda632b223f6
32,common_voice_ru_v24:common_voice_ru_26699688,common_voice_ru_26699688.mp3,test,common_voice_ru_v24:client:087ce1d4609572ccc7959ae5424ea046b564e9929d6bff4d558a0e0a55099ab579d03e0503833f8568b8b42c63968ec82a6ddd072ab367c3755c00822d6d6cc4,common_voice_ru_v24:client:087ce1d4609572ccc7959ae5424ea046b564e9929d6bff4d558a0e0a55099ab579d03e0503833f8568b8b42c63968ec82a6ddd072ab367c3755c00822d6d6cc4,9171769ddc4ad2d6f2c5e8c5fb2a7abb484579ce574823b483849fe6ce879ecb,4ebcbc84586ee11b140b5c92bf1e001297e95b055179d9cb03b3b1f257106fd2
33,common_voice_ru_v24:common_voice_ru_20484481,common_voice_ru_20484481.mp3,test,common_voice_ru_v24:client:da6c15f245ed77c72e89d5b2a22b5e92db59af2d7e121fc6398b14e93651c50c66328c4b75e28131e2c300606baf4a9b1de85e91e0a856ab428396bb5e485140,common_voice_ru_v24:client:da6c15f245ed77c72e89d5b2a22b5e92db59af2d7e121fc6398b14e93651c50c66328c4b75e28131e2c300606baf4a9b1de85e91e0a856ab428396bb5e485140,e5ef8024c54aac4d143bdc1a30dc8b80fbfbc1e0e944d1b924225f41a65658dc,90feb84fe806c30a203b61883699f8e918f0a0dcbf3814ec99ac2339f8534d5b
34,common_voice_ru_v24:common_voice_ru_24358225,common_voice_ru_24358225.mp3,test,common_voice_ru_v24:client:691d29976577a4f7844206cab0e1e9599f1bb0588945d4a6358fdd029ef0270bf46ebd4102995b4b8907a4f659a7708e0179a347a4f6b175c5e4ea73096f2915,common_voice_ru_v24:client:691d29976577a4f7844206cab0e1e9599f1bb0588945d4a6358fdd029ef0270bf46ebd4102995b4b8907a4f659a7708e0179a347a4f6b175c5e4ea73096f2915,8890fe36a50f6cb56525309b5bb1e4aba130d4d6fc5389b3c8e801473acdaf57,b456a610e1cd1c40e7e0d1d16f97ad4d25a825a4bcccd3c203779f29653b7947
35,common_voice_ru_v24:common_voice_ru_26587318,common_voice_ru_26587318.mp3,test,common_voice_ru_v24:client:01648c1613193e9f272373de6867c358d542ae833de4da47e9e6141dda355642a70e37a9ce1c55a47022322dd09d12e0c7cb02d5c1443e07a88bb7ed20f26e12,common_voice_ru_v24:client:01648c1613193e9f272373de6867c358d542ae833de4da47e9e6141dda355642a70e37a9ce1c55a47022322dd09d12e0c7cb02d5c1443e07a88bb7ed20f26e12,83c950bce49b612ff614ed9d9522c1934f4e5b564ab524d63cad285cc36f6fdc,b73ca3194e981facc837277f963ef7713597455a7fd3bc726ca0ed091936080d
36,common_voice_ru_v24:common_voice_ru_24599764,common_voice_ru_24599764.mp3,test,common_voice_ru_v24:client:2e8c15618085d5722bf09402a2606b8110eef64e6f51a9cf7e6c46ea57b9794b96f657347bce1093821177df1c79755179c2eb5d361e13e2cbffda2817836a9f,common_voice_ru_v24:client:2e8c15618085d5722bf09402a2606b8110eef64e6f51a9cf7e6c46ea57b9794b96f657347bce1093821177df1c79755179c2eb5d361e13e2cbffda2817836a9f,ff3878177066cd046d1a5a8b0adbd626fc055b79bfdba15659988434a1351830,0670aff216165eb4166a1612e19e69bace851ab8acbdf8d195a9657cf49dad20
37,common_voice_ru_v24:common_voice_ru_36457956,common_voice_ru_36457956.mp3,test,common_voice_ru_v24:client:5cc480d2be3c91c3f014a590da20a37bb6c1efc24654de5bb42f449689d9887a1b657677db9c5beea320ebc0f0d5385ac491d7082052b7fc78b3c25b75e7c8db,common_voice_ru_v24:client:5cc480d2be3c91c3f014a590da20a37bb6c1efc24654de5bb42f449689d9887a1b657677db9c5beea320ebc0f0d5385ac491d7082052b7fc78b3c25b75e7c8db,f8caa1522caafc1c0d74b8ef4e61bde6905e3f82c808695460f50066c3e6cb41,8cf3cda86760124353a2117d8026fd7b5140054386a3cb01a73ba7c1dbf78599
38,common_voice_ru_v24:common_voice_ru_23149012,common_voice_ru_23149012.mp3,test,common_voice_ru_v24:client:b2956afbd7484a504c0bde6feeb384a3496c2923093910269de96b98e7fd1434b7398b8650f689c6da0feda81a564ec3678493fdaca40f20f049265b29da8c0f,common_voice_ru_v24:client:b2956afbd7484a504c0bde6feeb384a3496c2923093910269de96b98e7fd1434b7398b8650f689c6da0feda81a564ec3678493fdaca40f20f049265b29da8c0f,c2fce97bcd9b568136684a95f2936ea3cf9dfca507f84e2f26302fb41490387c,e254edc6bd61e079c0471d5ce2e5e65e6e7c9ce6d5054776843e4809c70d524b
39,common_voice_ru_v24:common_voice_ru_22931297,common_voice_ru_22931297.mp3,test,common_voice_ru_v24:client:200523bb2f7f976c56d6ba0da893bc7681f1620ce5b854997651ef0c20556385aa35f85de9401e5613111486021a10517fafee48b7056f1dd8d3445bb18b0522,common_voice_ru_v24:client:200523bb2f7f976c56d6ba0da893bc7681f1620ce5b854997651ef0c20556385aa35f85de9401e5613111486021a10517fafee48b7056f1dd8d3445bb18b0522,ebb38d8700a413665105eff53807f6ce0f4b6643a9a0566f7a78cfad3b1c38f6,75bfe61bfd5ed18c329c32c1375a547172ab15220d3fa70bd5ddf4f753c2dc0e
40,common_voice_ru_v24:common_voice_ru_35306761,common_voice_ru_35306761.mp3,test,common_voice_ru_v24:client:b2fa7cd20a5f405dbecce2e625500ff2313a24ea2b76516d930ac81e5981dc69691d624f1cf50ca4bdcd24685ca7bb13a3af7b8e6fa1aa9d47ee08b4a0e0a9a1,common_voice_ru_v24:client:b2fa7cd20a5f405dbecce2e625500ff2313a24ea2b76516d930ac81e5981dc69691d624f1cf50ca4bdcd24685ca7bb13a3af7b8e6fa1aa9d47ee08b4a0e0a9a1,10addab0798c5b6b408bea2f2c9f828ae31e960cb4e394a946e20a99746238a2,96d600b1bba67fa81b45dbcbb813ef73fb387839fda6466e5fabb26b81c7cc01
41,common_voice_ru_v24:common_voice_ru_23930527,common_voice_ru_23930527.mp3,test,common_voice_ru_v24:client:97d5dfc18b2e95cf0ea516659355f4dfed989217df8c265a0c62793b70a2cf8039e07636416a57a105d36387ec535662d4abe1a7caff71a87691d755f6191d03,common_voice_ru_v24:client:97d5dfc18b2e95cf0ea516659355f4dfed989217df8c265a0c62793b70a2cf8039e07636416a57a105d36387ec535662d4abe1a7caff71a87691d755f6191d03,664e6347ed404029cffcc22f55dafc856105fabd54767110cc76ca6ee2ebdcaa,dc9337ff5b423e6828cd8f164d022d3a02b4efeaf7a0d2f60eaa032b7d9dcd3f
42,common_voice_ru_v24:common_voice_ru_20402690,common_voice_ru_20402690.mp3,test,common_voice_ru_v24:client:6a1ae1cd019319838f4b97babaa20dcb19abecabbb273a8d97838379eac536b1815b038bcb731cb3305dc88a5676c2b7111e3039e24c94fec2e56251ab838c4d,common_voice_ru_v24:client:6a1ae1cd019319838f4b97babaa20dcb19abecabbb273a8d97838379eac536b1815b038bcb731cb3305dc88a5676c2b7111e3039e24c94fec2e56251ab838c4d,4b7aa7db86e5253efa3d6e1c40b02e2795030ccfc3fde737ffa5e7f97415f685,c48f45694dcaac00738eadd145d2fa8e21f39f216c723248ea8203a84ce68437
