sample_id,relative_path,sha256,split,label,language,code_switch,parent_group_id,source_name,source_license,rights_basis,speaker_pseudo_id,text_id,text_hash,duration_s,generator_family,generator_name,generator_version,voice_id,clone_consent_id,device,capture_route,original_sr,codec,augmentation_chain,augmentation_seed,created_at
denis_1_0_mdc:0000000001_0300000050_General/0000000206,raw/denis_1_0_mdc_pre_qa_v1/denis_ru_001.webm,fee90af6ebf8b5b627b573f15cb2994c8d24c86de92a8261dc690b454092ab80,ood,bonafide,ru,false,denis_1_0_mdc:speaker:single,denis_1_0_mdc,CC0-1.0,Pinned MDC Denis 1.0 archive; CC0-1.0 card; personal research external holdout only,denis_1_0_mdc:speaker:single,denis_1_0_mdc:text:6c0ed1ba584a485229ba970aa98cbcb2167d0b53ea6ad938b9a8342ef8dabf35,6c0ed1ba584a485229ba970aa98cbcb2167d0b53ea6ad938b9a8342ef8dabf35,6.8735,,,,,,unknown,denis_mdc_single_speaker_read_speech,48000,ogg_opus_source_suffix_webm,,,2026-08-14T07:05:00+05:00
denis_1_0_mdc:3000000001_3000000300_Chat/3000000147,raw/denis_1_0_mdc_pre_qa_v1/denis_ru_012.webm,661c11c586419bb81007ace47ef61fb90262ee888ccd2eaab1e04de8d9068e31,ood,bonafide,ru,false,denis_1_0_mdc:speaker:single,denis_1_0_mdc,CC0-1.0,Pinned MDC Denis 1.0 archive; CC0-1.0 card; personal research external holdout only,denis_1_0_mdc:speaker:single,denis_1_0_mdc:text:4411630522f6f2042e0e2aaec03da7eb3a222f78359a16fbbcaff50759dc3a22,4411630522f6f2042e0e2aaec03da7eb3a222f78359a16fbbcaff50759dc3a22,3.9135,,,,,,unknown,denis_mdc_single_speaker_read_speech,48000,ogg_opus_source_suffix_webm,,,2026-08-14T07:05:00+05:00
denis_1_0_mdc:0000000001_0300000050_General/0200000081,raw/denis_1_0_mdc_pre_qa_v1/denis_ru_013.webm,51897d1a72b0f4a56c9afbeda93253b0fb2bab959cb36e6c5689fc2b515cd80f,ood,bonafide,ru,false,denis_1_0_mdc:speaker:single,denis_1_0_mdc,CC0-1.0,Pinned MDC Denis 1.0 archive; CC0-1.0 card; personal research external holdout only,denis_1_0_mdc:speaker:single,denis_1_0_mdc:text:e4c4630c2d2d042016755f93ca713be20bd15793f0e74c5d3dc9f80b543f1216,e4c4630c2d2d042016755f93ca713be20bd15793f0e74c5d3dc9f80b543f1216,6.3335,,,,,,unknown,denis_mdc_single_speaker_read_speech,48000,ogg_opus_source_suffix_webm,,,2026-08-14T07:05:00+05:00
denis_1_0_mdc:4000000001_4000000300_CustomerService/4000000174,raw/denis_1_0_mdc_pre_qa_v1/denis_ru_014.webm,b0945cf1c0c8ecfaf53a9e43c6e3c31d57cc22b9926b19942f75f3b93f4d0777,ood,bonafide,ru,false,denis_1_0_mdc:speaker:single,denis_1_0_mdc,CC0-1.0,Pinned MDC Denis 1.0 archive; CC0-1.0 card; personal research external holdout only,denis_1_0_mdc:speaker:single,denis_1_0_mdc:text:f7ea9f051e2184528441d04e985f85d42b725a0f6e163229c0216f56067eb350,f7ea9f051e2184528441d04e985f85d42b725a0f6e163229c0216f56067eb350,7.3935,,,,,,unknown,denis_mdc_single_speaker_read_speech,48000,ogg_opus_source_suffix_webm,,,2026-08-14T07:05:00+05:00
denis_1_0_mdc:3000000001_3000000300_Chat/3000000200,raw/denis_1_0_mdc_pre_qa_v1/denis_ru_015.webm,33e36cd5bcd0c5eb6d06daf6a4c0ed45620a5b175fa2f9fb2ae573a1ebb7a940,ood,bonafide,ru,false,denis_1_0_mdc:speaker:single,denis_1_0_mdc,CC0-1.0,Pinned MDC Denis 1.0 archive; CC0-1.0 card; personal research external holdout only,denis_1_0_mdc:speaker:single,denis_1_0_mdc:text:8c51af490c9fd9422d226fe26514c358e0b784e30e2df1eb58631cf24dc08d65,8c51af490c9fd9422d226fe26514c358e0b784e30e2df1eb58631cf24dc08d65,3.9335,,,,,,unknown,denis_mdc_single_speaker_read_speech,48000,ogg_opus_source_suffix_webm,,,2026-08-14T07:05:00+05:00
denis_1_0_mdc:0000000001_0300000050_General/0300000010,raw/denis_1_0_mdc_pre_qa_v1/denis_ru_016.webm,b759b460ce2e9690e815db9f4ec9dae8be7e459152a8aa9a0f117ded632dbe43,ood,bonafide,ru,false,denis_1_0_mdc:speaker:single,denis_1_0_mdc,CC0-1.0,Pinned MDC Denis 1.0 archive; CC0-1.0 card; personal research external holdout only,denis_1_0_mdc:speaker:single,denis_1_0_mdc:text:6e4a75bdfed161b91016e09324109534147b098817b640fdfa4bfa738aee7f46,6e4a75bdfed161b91016e09324109534147b098817b640fdfa4bfa738aee7f46,4.2335,,,,,,unknown,denis_mdc_single_speaker_read_speech,48000,ogg_opus_source_suffix_webm,,,2026-08-14T07:05:00+05:00
denis_1_0_mdc:4000000001_4000000300_CustomerService/4000000125,raw/denis_1_0_mdc_pre_qa_v1/denis_ru_017.webm,251fbe1e63d4e3523534b72642426bf4b32a151b7c2f113ef1d1c0e18fbbd218,ood,bonafide,ru,false,denis_1_0_mdc:speaker:single,denis_1_0_mdc,CC0-1.0,Pinned MDC Denis 1.0 archive; CC0-1.0 card; personal research external holdout only,denis_1_0_mdc:speaker:single,denis_1_0_mdc:text:90daa45c3d6b79e263e4e9f4d369aad893f2ce42defa424d6dac7fe7970c1b54,90daa45c3d6b79e263e4e9f4d369aad893f2ce42defa424d6dac7fe7970c1b54,3.9335,,,,,,unknown,denis_mdc_single_speaker_read_speech,48000,ogg_opus_source_suffix_webm,,,2026-08-14T07:05:00+05:00
denis_1_0_mdc:3000000001_3000000300_Chat/3000000197,raw/denis_1_0_mdc_pre_qa_v1/denis_ru_018.webm,f27c8b389d9b9bb14eec3c859070ecc92bf9ac757c7fa4946613e4361456da78,ood,bonafide,ru,false,denis_1_0_mdc:speaker:single,denis_1_0_mdc,CC0-1.0,Pinned MDC Denis 1.0 archive; CC0-1.0 card; personal research external holdout only,denis_1_0_mdc:speaker:single,denis_1_0_mdc:text:091d087f4e37903318fd48607a8278b1879ac62dd61f9e416436e0aae8538aba,091d087f4e37903318fd48607a8278b1879ac62dd61f9e416436e0aae8538aba,3.4135,,,,,,unknown,denis_mdc_single_speaker_read_speech,48000,ogg_opus_source_suffix_webm,,,2026-08-14T07:05:00+05:00
denis_1_0_mdc:0000000001_0300000050_General/0000000269,raw/denis_1_0_mdc_pre_qa_v1/denis_ru_019.webm,44ef3420be4342877878f845cfcae443629757c90ddbac14324891a51fabe67e,ood,bonafide,ru,false,denis_1_0_mdc:speaker:single,denis_1_0_mdc,CC0-1.0,Pinned MDC Denis 1.0 archive; CC0-1.0 card; personal research external holdout only,denis_1_0_mdc:speaker:single,denis_1_0_mdc:text:b53707717f8635f46eb6e951bd07df1483224b4e37dac69ecd98fa7fb53ec4f9,b53707717f8635f46eb6e951bd07df1483224b4e37dac69ecd98fa7fb53ec4f9,6.8535,,,,,,unknown,denis_mdc_single_speaker_read_speech,48000,ogg_opus_source_suffix_webm,,,2026-08-14T07:05:00+05:00
denis_1_0_mdc:4000000001_4000000300_CustomerService/4000000093,raw/denis_1_0_mdc_pre_qa_v1/denis_ru_020.webm,51ba19dd1ced5271c102cb9ce47ae43d41f71d16d4391d991b05aec025924f4e,ood,bonafide,ru,false,denis_1_0_mdc:speaker:single,denis_1_0_mdc,CC0-1.0,Pinned MDC Denis 1.0 archive; CC0-1.0 card; personal research external holdout only,denis_1_0_mdc:speaker:single,denis_1_0_mdc:text:106710668329a168313dea4ed9e1da78f02e4051576901ac48d9824ed0cee3a9,106710668329a168313dea4ed9e1da78f02e4051576901ac48d9824ed0cee3a9,7.9135,,,,,,unknown,denis_mdc_single_speaker_read_speech,48000,ogg_opus_source_suffix_webm,,,2026-08-14T07:05:00+05:00
denis_1_0_mdc:3000000001_3000000300_Chat/3000000025,raw/denis_1_0_mdc_pre_qa_v1/denis_ru_021.webm,19ad574149014eaf36d624490a012f0246d42b115198b3e92df33327931a3601,ood,bonafide,ru,false,denis_1_0_mdc:speaker:single,denis_1_0_mdc,CC0-1.0,Pinned MDC Denis 1.0 archive; CC0-1.0 card; personal research external holdout only,denis_1_0_mdc:speaker:single,denis_1_0_mdc:text:768fc8fd0de69fc21b91cc030d99217c6efae84188e86ed4efa50190f9f15b0c,768fc8fd0de69fc21b91cc030d99217c6efae84188e86ed4efa50190f9f15b0c,5.2535,,,,,,unknown,denis_mdc_single_speaker_read_speech,48000,ogg_opus_source_suffix_webm,,,2026-08-14T07:05:00+05:00
denis_1_0_mdc:0000000001_0300000050_General/0100000093,raw/denis_1_0_mdc_pre_qa_v1/denis_ru_022.webm,1e969da5a1cdf585b9936af56087cbf89d6335518598343f162130764d7ea28d,ood,bonafide,ru,false,denis_1_0_mdc:speaker:single,denis_1_0_mdc,CC0-1.0,Pinned MDC Denis 1.0 archive; CC0-1.0 card; personal research external holdout only,denis_1_0_mdc:speaker:single,denis_1_0_mdc:text:7400efa8228f33334aea675ec9b2adc42e820b3900ccde0e5d1cc349be7665ec,7400efa8228f33334aea675ec9b2adc42e820b3900ccde0e5d1cc349be7665ec,4.4535,,,,,,unknown,denis_mdc_single_speaker_read_speech,48000,ogg_opus_source_suffix_webm,,,2026-08-14T07:05:00+05:00
denis_1_0_mdc:4000000001_4000000300_CustomerService/4000000084,raw/denis_1_0_mdc_pre_qa_v1/denis_ru_023.webm,e2970416169981d772506d37c8a6a94eb492396d7ec4b4e599d264e0d9e53180,ood,bonafide,ru,false,denis_1_0_mdc:speaker:single,denis_1_0_mdc,CC0-1.0,Pinned MDC Denis 1.0 archive; CC0-1.0 card; personal research external holdout only,denis_1_0_mdc:speaker:single,denis_1_0_mdc:text:887e7a9a6aecb1295b15729038a6cc332e850dd2289adb2ed6bab8c1fe8fe00b,887e7a9a6aecb1295b15729038a6cc332e850dd2289adb2ed6bab8c1fe8fe00b,6.3535,,,,,,unknown,denis_mdc_single_speaker_read_speech,48000,ogg_opus_source_suffix_webm,,,2026-08-14T07:05:00+05:00
denis_1_0_mdc:3000000001_3000000300_Chat/3000000161,raw/denis_1_0_mdc_pre_qa_v1/denis_ru_024.webm,805c11b2e706cf452d37b1ec314a9044f0b36ea5abf9b3992bda5fbd3bd5f4d0,ood,bonafide,ru,false,denis_1_0_mdc:speaker:single,denis_1_0_mdc,CC0-1.0,Pinned MDC Denis 1.0 archive; CC0-1.0 card; personal research external holdout only,denis_1_0_mdc:speaker:single,denis_1_0_mdc:text:1578a37835a3aacfc9922da11632a08a3a1a6a4c5e23d8b6a6f5742d36b14976,1578a37835a3aacfc9922da11632a08a3a1a6a4c5e23d8b6a6f5742d36b14976,3.9535,,,,,,unknown,denis_mdc_single_speaker_read_speech,48000,ogg_opus_source_suffix_webm,,,2026-08-14T07:05:00+05:00
denis_1_0_mdc:0000000001_0300000050_General/0000000066,raw/denis_1_0_mdc_pre_qa_v1/denis_ru_025.webm,5ec5cc2f69e5557e6af04e254bf2ce83c1c89ab4c965ef11d7d82a4fd0956ecf,ood,bonafide,ru,false,denis_1_0_mdc:speaker:single,denis_1_0_mdc,CC0-1.0,Pinned MDC Denis 1.0 archive; CC0-1.0 card; personal research external holdout only,denis_1_0_mdc:speaker:single,denis_1_0_mdc:text:b983f4f749aa57a91ccd52e9a5be1e202ac150dfa85f09e38560b3aa26818e54,b983f4f749aa57a91ccd52e9a5be1e202ac150dfa85f09e38560b3aa26818e54,13.2335,,,,,,unknown,denis_mdc_single_speaker_read_speech,48000,ogg_opus_source_suffix_webm,,,2026-08-14T07:05:00+05:00
denis_1_0_mdc:4000000001_4000000300_CustomerService/4000000256,raw/denis_1_0_mdc_pre_qa_v1/denis_ru_026.webm,f75f277407051d9ec8f038dd1e4b6a0ece239c1390d28e67f71ef40b58f62848,ood,bonafide,ru,false,denis_1_0_mdc:speaker:single,denis_1_0_mdc,CC0-1.0,Pinned MDC Denis 1.0 archive; CC0-1.0 card; personal research external holdout only,denis_1_0_mdc:speaker:single,denis_1_0_mdc:text:c62a197e8a6f153711d30e05c3eae5aede1589e0132f11cdc5feab0b28f80f6c,c62a197e8a6f153711d30e05c3eae5aede1589e0132f11cdc5feab0b28f80f6c,5.8135,,,,,,unknown,denis_mdc_single_speaker_read_speech,48000,ogg_opus_source_suffix_webm,,,2026-08-14T07:05:00+05:00
denis_1_0_mdc:3000000001_3000000300_Chat/3000000249,raw/denis_1_0_mdc_pre_qa_v1/denis_ru_027.webm,c75d36510888a4e41586a58c2dd078d01477f4b36f99c754394d111026bb12c9,ood,bonafide,ru,false,denis_1_0_mdc:speaker:single,denis_1_0_mdc,CC0-1.0,Pinned MDC Denis 1.0 archive; CC0-1.0 card; personal research external holdout only,denis_1_0_mdc:speaker:single,denis_1_0_mdc:text:59c36a58e60945b039e477a884bc3b2394ddb92f803b1a924b30db18cf5cb626,59c36a58e60945b039e477a884bc3b2394ddb92f803b1a924b30db18cf5cb626,5.7935,,,,,,unknown,denis_mdc_single_speaker_read_speech,48000,ogg_opus_source_suffix_webm,,,2026-08-14T07:05:00+05:00
denis_1_0_mdc:0000000001_0300000050_General/0300000025,raw/denis_1_0_mdc_pre_qa_v1/denis_ru_028.webm,cf8f1ef605a9ab7d4488e4045596338b31f1dd21228acf10c0abe46c9c6154c4,ood,bonafide,ru,false,denis_1_0_mdc:speaker:single,denis_1_0_mdc,CC0-1.0,Pinned MDC Denis 1.0 archive; CC0-1.0 card; personal research external holdout only,denis_1_0_mdc:speaker:single,denis_1_0_mdc:text:ade7233839b00237a5638d1dcf74dd0327a306329275a4807092bf6060e531a3,ade7233839b00237a5638d1dcf74dd0327a306329275a4807092bf6060e531a3,5.2735,,,,,,unknown,denis_mdc_single_speaker_read_speech,48000,ogg_opus_source_suffix_webm,,,2026-08-14T07:05:00+05:00
denis_1_0_mdc:4000000001_4000000300_CustomerService/4000000179,raw/denis_1_0_mdc_pre_qa_v1/denis_ru_029.webm,556274ca420b173b44ba668b474aa2919a66214fcf4138f99525e03460f1ab76,ood,bonafide,ru,false,denis_1_0_mdc:speaker:single,denis_1_0_mdc,CC0-1.0,Pinned MDC Denis 1.0 archive; CC0-1.0 card; personal research external holdout only,denis_1_0_mdc:speaker:single,denis_1_0_mdc:text:e718f72c2fdc22e4344a9a89999b79a6d6d00ff28d7b0a3d7800b3383be60bc5,e718f72c2fdc22e4344a9a89999b79a6d6d00ff28d7b0a3d7800b3383be60bc5,6.2735,,,,,,unknown,denis_mdc_single_speaker_read_speech,48000,ogg_opus_source_suffix_webm,,,2026-08-14T07:05:00+05:00
denis_1_0_mdc:3000000001_3000000300_Chat/3000000289,raw/denis_1_0_mdc_pre_qa_v1/denis_ru_030.webm,061311270bbd116be5fbf92645b4ab50056d9b0e44f2f32930df37be8ce0b694,ood,bonafide,ru,false,denis_1_0_mdc:speaker:single,denis_1_0_mdc,CC0-1.0,Pinned MDC Denis 1.0 archive; CC0-1.0 card; personal research external holdout only,denis_1_0_mdc:speaker:single,denis_1_0_mdc:text:8527e9b2c8977f5d1b81fc46b7598e51c84fd89845f14cdbc6cc42f15edf71ba,8527e9b2c8977f5d1b81fc46b7598e51c84fd89845f14cdbc6cc42f15edf71ba,3.9335,,,,,,unknown,denis_mdc_single_speaker_read_speech,48000,ogg_opus_source_suffix_webm,,,2026-08-14T07:05:00+05:00
denis_1_0_mdc:0000000001_0300000050_General/0300000001,raw/denis_1_0_mdc_pre_qa_v1/denis_ru_031.webm,2266b908d857d4ae2b15e46b1c1d3141237eca719b5926ae7914f5e354fe3424,ood,bonafide,ru,false,denis_1_0_mdc:speaker:single,denis_1_0_mdc,CC0-1.0,Pinned MDC Denis 1.0 archive; CC0-1.0 card; personal research external holdout only,denis_1_0_mdc:speaker:single,denis_1_0_mdc:text:ae0fe01ca6e6394d0ec69a76f2ac4a5108fa81259d8e98a1d597c5bd087df3a9,ae0fe01ca6e6394d0ec69a76f2ac4a5108fa81259d8e98a1d597c5bd087df3a9,4.9735,,,,,,unknown,denis_mdc_single_speaker_read_speech,48000,ogg_opus_source_suffix_webm,,,2026-08-14T07:05:00+05:00
denis_1_0_mdc:4000000001_4000000300_CustomerService/4000000107,raw/denis_1_0_mdc_pre_qa_v1/denis_ru_032.webm,db940ed39dc2567537ec9984e658426485dd0aaf8fe383edae68cf10d61df0f0,ood,bonafide,ru,false,denis_1_0_mdc:speaker:single,denis_1_0_mdc,CC0-1.0,Pinned MDC Denis 1.0 archive; CC0-1.0 card; personal research external holdout only,denis_1_0_mdc:speaker:single,denis_1_0_mdc:text:079195333e8193ac623e18a2da35be85bd78ffb3297e583e7045cd65031fbd0a,079195333e8193ac623e18a2da35be85bd78ffb3297e583e7045cd65031fbd0a,6.8335,,,,,,unknown,denis_mdc_single_speaker_read_speech,48000,ogg_opus_source_suffix_webm,,,2026-08-14T07:05:00+05:00
denis_1_0_mdc:3000000001_3000000300_Chat/3000000270,raw/denis_1_0_mdc_pre_qa_v1/denis_ru_033.webm,c708847e3f588c93f8de1d17486c16f3708c982494a1d3a3cb07254a85e0c500,ood,bonafide,ru,false,denis_1_0_mdc:speaker:single,denis_1_0_mdc,CC0-1.0,Pinned MDC Denis 1.0 archive; CC0-1.0 card; personal research external holdout only,denis_1_0_mdc:speaker:single,denis_1_0_mdc:text:f5f1188070c5656d5131c4b73e82a18daaebf29c1c7722c89d6029152fc3940c,f5f1188070c5656d5131c4b73e82a18daaebf29c1c7722c89d6029152fc3940c,4.2335,,,,,,unknown,denis_mdc_single_speaker_read_speech,48000,ogg_opus_source_suffix_webm,,,2026-08-14T07:05:00+05:00
denis_1_0_mdc:0000000001_0300000050_General/0000000177,raw/denis_1_0_mdc_pre_qa_v1/denis_ru_034.webm,7484ea17509a8d1d02010131ca45bec77bef26ca5461953f3dfc1b9e71f5a131,ood,bonafide,ru,false,denis_1_0_mdc:speaker:single,denis_1_0_mdc,CC0-1.0,Pinned MDC Denis 1.0 archive; CC0-1.0 card; personal research external holdout only,denis_1_0_mdc:speaker:single,denis_1_0_mdc:text:265eadf0d92b37881c7c1b509f0a30feaeca576ed9b0af1f0bda2555b42a1da4,265eadf0d92b37881c7c1b509f0a30feaeca576ed9b0af1f0bda2555b42a1da4,3.9335,,,,,,unknown,denis_mdc_single_speaker_read_speech,48000,ogg_opus_source_suffix_webm,,,2026-08-14T07:05:00+05:00
denis_1_0_mdc:4000000001_4000000300_CustomerService/4000000013,raw/denis_1_0_mdc_pre_qa_v1/denis_ru_035.webm,95dfacbfaced7819e9d62dc5c71cd5c456fe2fc70d14f68736de52c2f68ed18c,ood,bonafide,ru,false,denis_1_0_mdc:speaker:single,denis_1_0_mdc,CC0-1.0,Pinned MDC Denis 1.0 archive; CC0-1.0 card; personal research external holdout only,denis_1_0_mdc:speaker:single,denis_1_0_mdc:text:61d1873a57b1391bd2a825d352d0036ab020b79f0864c30b72905166abeae49b,61d1873a57b1391bd2a825d352d0036ab020b79f0864c30b72905166abeae49b,7.8535,,,,,,unknown,denis_mdc_single_speaker_read_speech,48000,ogg_opus_source_suffix_webm,,,2026-08-14T07:05:00+05:00
