selection_rank,sample_id,submission_pseudo_id,prompt_id,parent_group_id,speaker_pseudo_id,prompt_text_hash,original_prompt_text_hash
15,voxforge_ru_mdc_2026_05:submission:a671e0dc06311ad38fe7274641a2a9d9a777383bf2cc0a9250bd4b8dd3209ffc:prompt:ru_0015,a671e0dc06311ad38fe7274641a2a9d9a777383bf2cc0a9250bd4b8dd3209ffc,ru_0015,voxforge_ru_mdc_2026_05:contributor:db41dc744e8c6f034f23ffe35f1e1964ea2ab1f6447a546af523b22a8135a256,voxforge_ru_mdc_2026_05:contributor:db41dc744e8c6f034f23ffe35f1e1964ea2ab1f6447a546af523b22a8135a256,6cbf385566deef9216dba8d96b52613d7dc3cbe52ad79631237c672891525f83,86930e68e97a102c77aeac0bba741017df456a4674b3b4edd1f5ed267a7fec70
16,voxforge_ru_mdc_2026_05:submission:5ed207d608a642598315573c3f7af61d746bedbc4785e651843a30b167ede30a:prompt:ru_0014,5ed207d608a642598315573c3f7af61d746bedbc4785e651843a30b167ede30a,ru_0014,voxforge_ru_mdc_2026_05:contributor:b1be8d50607e71f9031e132bc20ca77d8b877f0ad48f7d48f0c8397775dcfb0e,voxforge_ru_mdc_2026_05:contributor:b1be8d50607e71f9031e132bc20ca77d8b877f0ad48f7d48f0c8397775dcfb0e,7d4e89671802658713e39df7281f4bb22291d2f707447701bf4c10b2ff6754df,9ffc759771370d858d66cc72bc89989270186f86dd6bb3588aa0378071cba5b7
17,voxforge_ru_mdc_2026_05:submission:bd92625ec07cb9bcc3a6c85578847172ac436e4dc35ac7b5c4ab21e5ef30d81f:prompt:ru_0009,bd92625ec07cb9bcc3a6c85578847172ac436e4dc35ac7b5c4ab21e5ef30d81f,ru_0009,voxforge_ru_mdc_2026_05:contributor:585beda9f4f7c87d1d9bde53c917a3e6b5830ff5dd4ee4c1d742fbcaccefbee7,voxforge_ru_mdc_2026_05:contributor:585beda9f4f7c87d1d9bde53c917a3e6b5830ff5dd4ee4c1d742fbcaccefbee7,75a97bdbd3ebf02b18ddff117ae954b7ef11da546aa9ce854b5f59c98e1c2d2c,383752a5b735e4bcd8741c70631d6f1a52137757e7e1c5ae0ec624f8d5e2b2c2
18,voxforge_ru_mdc_2026_05:submission:d67e038bb43351ed21e1d2ab200b4003a902e8a54ae585d887a279e91dadfc00:prompt:ru_0077,d67e038bb43351ed21e1d2ab200b4003a902e8a54ae585d887a279e91dadfc00,ru_0077,voxforge_ru_mdc_2026_05:contributor:dbdb75b3928a3d54943ace96c6b47f63dc4bc0ba1ff137c29561ab46acc18be8,voxforge_ru_mdc_2026_05:contributor:dbdb75b3928a3d54943ace96c6b47f63dc4bc0ba1ff137c29561ab46acc18be8,a31d839d7908e49b34ea47243410d8fbc5f8b1552fa6bb0d32a748617e8c5ac5,48751b6b57e2b159416205c7603c6a3ad71daa83ffeaf1a8acee2f5381494dbe
19,voxforge_ru_mdc_2026_05:submission:996af8e6a706cdd4dface56d1512584ee4b0831d4a354d1a445d0df5b1880c2b:prompt:ru_0100,996af8e6a706cdd4dface56d1512584ee4b0831d4a354d1a445d0df5b1880c2b,ru_0100,voxforge_ru_mdc_2026_05:contributor:8206e6a20b246afc8d205b11634fc4ac8a737394b436164adc25cb7361d9fee7,voxforge_ru_mdc_2026_05:contributor:8206e6a20b246afc8d205b11634fc4ac8a737394b436164adc25cb7361d9fee7,9224f19e638722550a950fa63b66a5fcb20c11d6c6d50897bdac3f493ef421a9,9caafc3cf4c92c1435e311b028e314e92e678282667923f2056600bb954b3963
20,voxforge_ru_mdc_2026_05:submission:5995db2998443156a3c27a0f0a022e3f3a25c8835724534d6627ed951a2768f4:prompt:ru_0044,5995db2998443156a3c27a0f0a022e3f3a25c8835724534d6627ed951a2768f4,ru_0044,voxforge_ru_mdc_2026_05:contributor:15a0bd627a092e5a427224ec82d844f97e1a20f5afd23f5ded82dc7c633577d1,voxforge_ru_mdc_2026_05:contributor:15a0bd627a092e5a427224ec82d844f97e1a20f5afd23f5ded82dc7c633577d1,793a393e7cb9ac2885eaf11fac28aece840360415750df5df604a8d287470df0,d95685deeb50419fae135065a34c2413bc6556646776c28acff20785462b5b9e
21,voxforge_ru_mdc_2026_05:submission:4f1cc4bbce168879f2b212495cbe272a97cdc79234e98493f51454fbe8c6f521:prompt:ru_0008,4f1cc4bbce168879f2b212495cbe272a97cdc79234e98493f51454fbe8c6f521,ru_0008,voxforge_ru_mdc_2026_05:contributor:bf407e00cac89c0d5ddfbea8477a15898a6875b38c2e05ac7e98dea37fe515ff,voxforge_ru_mdc_2026_05:contributor:bf407e00cac89c0d5ddfbea8477a15898a6875b38c2e05ac7e98dea37fe515ff,badaef8270a22d017c41d4d66a44e6b18b2d65f8c613d51b93845ffcaedb246b,d51c03867223890c7c4223ef03fa5c8cf82645c4bf7dd9e8f77f88204c6f654b
22,voxforge_ru_mdc_2026_05:submission:da23929a193e177541440310c45721d2b16e728545b85a60cfdd99612181fc57:prompt:ru_0004,da23929a193e177541440310c45721d2b16e728545b85a60cfdd99612181fc57,ru_0004,voxforge_ru_mdc_2026_05:contributor:9023bd0373919db94c5668269f0bbc095a22cac95de13ac093a8b1144b62d457,voxforge_ru_mdc_2026_05:contributor:9023bd0373919db94c5668269f0bbc095a22cac95de13ac093a8b1144b62d457,29d3f0b98584fa601e2a45e4714fe370315148dd2842fb294e5c45f4f16eeff3,81afb91878aec0b0d2c3a5ffd7df38ac4d276d5469bbec5a2ecfa5d624fcebfe
23,voxforge_ru_mdc_2026_05:submission:3c0767a2a9f5de7a830dab25a37f6e61e2a2641b574e5a05aba6f023c1d82e46:prompt:ru_0068,3c0767a2a9f5de7a830dab25a37f6e61e2a2641b574e5a05aba6f023c1d82e46,ru_0068,voxforge_ru_mdc_2026_05:contributor:d322c3a9837fad6b52f61630ebd14ce83966c93c7d8b8248eb7b7b041c1c643f,voxforge_ru_mdc_2026_05:contributor:d322c3a9837fad6b52f61630ebd14ce83966c93c7d8b8248eb7b7b041c1c643f,5212eb0fb22dbd4d23781f2127e25b13fc13e80b121cbb2abe58ff0754f52066,08e572f145d8f4883a5928f8f383d9a199f75f7c5cda46fc5241ce76a4289f1e
24,voxforge_ru_mdc_2026_05:submission:092455e06bb80e4e2d39a4a0b6618392901308523dbbfe3b9b275ad7679c8ad8:prompt:ru_0054,092455e06bb80e4e2d39a4a0b6618392901308523dbbfe3b9b275ad7679c8ad8,ru_0054,voxforge_ru_mdc_2026_05:contributor:5ff63ca0b626d5437d82a17d814917bf9d1c65eb688a26c90e077f47f8bc4378,voxforge_ru_mdc_2026_05:contributor:5ff63ca0b626d5437d82a17d814917bf9d1c65eb688a26c90e077f47f8bc4378,c00912f52abe2516888b66043d4dcc12f4b77010356a3b895aca698dfae61ccd,14468cd1ca946add293d6276159912847cb226d763d6316c4ddc3c5a388de318
25,voxforge_ru_mdc_2026_05:submission:6cfa817d2738f9369b26e9fa2b4d934a762cfff8d49a2b28d53a64252ba5feff:prompt:ru_0070,6cfa817d2738f9369b26e9fa2b4d934a762cfff8d49a2b28d53a64252ba5feff,ru_0070,voxforge_ru_mdc_2026_05:contributor:73ef176d9f12809e64363b2b5f4553abecca7aae157327f190323cfa0e42c815,voxforge_ru_mdc_2026_05:contributor:73ef176d9f12809e64363b2b5f4553abecca7aae157327f190323cfa0e42c815,d6b672f415b9cc11b195a7d417c851f06b0fd412fce28a0584b25110103eacf0,7adb12a6493504ba973bb5b5fb2100fbda9c03bcfdeaff8efc7681fab6e78e57
26,voxforge_ru_mdc_2026_05:submission:04668fd548109be444a219298d90ced078941f1fe19dc7e502a83d239a415ab9:prompt:ru_0078,04668fd548109be444a219298d90ced078941f1fe19dc7e502a83d239a415ab9,ru_0078,voxforge_ru_mdc_2026_05:contributor:1648f9930fa970a774c0a0e159223a1431535cb3043950b77473bf79f5006e67,voxforge_ru_mdc_2026_05:contributor:1648f9930fa970a774c0a0e159223a1431535cb3043950b77473bf79f5006e67,25a2d0b010f7bffaf8484d78ca231194697839667c1098a903bdc6cf3986c837,64c8e94991849335a5daba45db49a9864699f6919cf789af60481aca0efd0515
27,voxforge_ru_mdc_2026_05:submission:0641adc94d9eadc04a4ee384e9e35b083971f6c0394bf27cef38175035ac10fd:prompt:ru_0050,0641adc94d9eadc04a4ee384e9e35b083971f6c0394bf27cef38175035ac10fd,ru_0050,voxforge_ru_mdc_2026_05:contributor:de1068db6674eea033f130a99a8c51d70e40465f9b246e97060b5f7b8ca8511c,voxforge_ru_mdc_2026_05:contributor:de1068db6674eea033f130a99a8c51d70e40465f9b246e97060b5f7b8ca8511c,8c94caf31d1fa9382315e39434ba9e2789d70b071e5bb0dc6030d5115cfa2d70,643eb611d821f94766079a067946ee1ad5f6c2a91401c67198d8c5f3f339da9b
28,voxforge_ru_mdc_2026_05:submission:aaab32ab06543cbc15497224acec404e8c3cb00d26892fa818af48d9f8fffa3e:prompt:ru_0001,aaab32ab06543cbc15497224acec404e8c3cb00d26892fa818af48d9f8fffa3e,ru_0001,voxforge_ru_mdc_2026_05:contributor:85bf714b180f19af68083f5d51677324f74b28c6d82e52cc0c97067f0c5a3ff3,voxforge_ru_mdc_2026_05:contributor:85bf714b180f19af68083f5d51677324f74b28c6d82e52cc0c97067f0c5a3ff3,e7dab8ad7b1ad1813e718b208879e8268ad9376e6f6fddef9d258a5af02107f2,c3f9378e0a6e2709e6f8b1a812eda489fbaf432f7c9cdc734e25d6ac3ab4187c
29,voxforge_ru_mdc_2026_05:submission:1e0f54b66145f997246f82132b2ca6bd03c6732ade6d91d49348499cc80e3509:prompt:ru_0041,1e0f54b66145f997246f82132b2ca6bd03c6732ade6d91d49348499cc80e3509,ru_0041,voxforge_ru_mdc_2026_05:contributor:7732b22ad62103672faad1da5e2c31578cdaaed0ce18af62ad9b5fdcbd0bbf89,voxforge_ru_mdc_2026_05:contributor:7732b22ad62103672faad1da5e2c31578cdaaed0ce18af62ad9b5fdcbd0bbf89,933f70782c8c99fef2dfaa6959e59efd33ea928393e13121cc1936c78d0e3692,4e2b18d73d76566cbbd69bc58837658c798c9b0f1d844b04282aef3c8427fdff
30,voxforge_ru_mdc_2026_05:submission:7f0c7a041eb1fa91d3c772a0eaf9d2b8bf6794c2a8a81682c6d9495b1a967450:prompt:ru_0035,7f0c7a041eb1fa91d3c772a0eaf9d2b8bf6794c2a8a81682c6d9495b1a967450,ru_0035,voxforge_ru_mdc_2026_05:contributor:ce65fa41b16c33ff496425b08616bbcf09b6dfad21f8e0b9dc27327b6db74d1b,voxforge_ru_mdc_2026_05:contributor:ce65fa41b16c33ff496425b08616bbcf09b6dfad21f8e0b9dc27327b6db74d1b,9c60ef21d2ee4e019dc70c2d454b1b0f5d1442956e62b4831ec349abe6814441,d7806fa363b66d2c9eb9308b14776911d5fb8c10df7e0ed9b22c9f35488143cc
31,voxforge_ru_mdc_2026_05:submission:fb55b7a8b2467e5708373038451f2c07155766b9bd699eb0148ff07ad0f29ac5:prompt:ru_0059,fb55b7a8b2467e5708373038451f2c07155766b9bd699eb0148ff07ad0f29ac5,ru_0059,voxforge_ru_mdc_2026_05:contributor:fe77739527abd21adedf03eaf4dcdee2644152e4527e0de238efe86266928f62,voxforge_ru_mdc_2026_05:contributor:fe77739527abd21adedf03eaf4dcdee2644152e4527e0de238efe86266928f62,7fb393ecba16af6004df4a3e5e8a78222f3850c8b54d7e5e8fc92a54771cb43c,88adecb452b60892811ae9175604f26b93f93d03e53765188a78b2387ce55745
32,voxforge_ru_mdc_2026_05:submission:f105857a7b554d7a0d0e8c359d67297e35a6861009653b824ee46b0fe80bdfae:prompt:ru_0030,f105857a7b554d7a0d0e8c359d67297e35a6861009653b824ee46b0fe80bdfae,ru_0030,voxforge_ru_mdc_2026_05:contributor:6b86b273ff34fce19d6b804eff5a3f5747ada4eaa22f1d49c01e52ddb7875b4b,voxforge_ru_mdc_2026_05:contributor:6b86b273ff34fce19d6b804eff5a3f5747ada4eaa22f1d49c01e52ddb7875b4b,7ae0052a1f22bb0946cc1731f369ee4a56c8cf52599f2b158c617fe4e279cc95,1b0c4b0b16a831209a329c5b4c2b95261a9944b0dde9c2d9fa6ab7a13a079cf2
33,voxforge_ru_mdc_2026_05:submission:6669141f052b58d1e759cd0f4685c04ec78079e77a6224181968ba7505deefe0:prompt:ru_0075,6669141f052b58d1e759cd0f4685c04ec78079e77a6224181968ba7505deefe0,ru_0075,voxforge_ru_mdc_2026_05:contributor:51327fd7692cbc4bfb18f3b3c7ea3d62df3547c4786a26d95b01f41b227a43d4,voxforge_ru_mdc_2026_05:contributor:51327fd7692cbc4bfb18f3b3c7ea3d62df3547c4786a26d95b01f41b227a43d4,98a460c44832da8b47da1b280091a98abfd6051cff470b77e4d9003aa579c0ac,fc00ecdc2ace6960d3991b23bc1af8aa71df29258d029b1ec75534c89bdb055a
34,voxforge_ru_mdc_2026_05:submission:f361f6007f4fa97e8fa33488b50787581a6ddf8f85519440902687056f58f693:prompt:ru_0012,f361f6007f4fa97e8fa33488b50787581a6ddf8f85519440902687056f58f693,ru_0012,voxforge_ru_mdc_2026_05:contributor:da31b47d782c21369a0ff71b5c057894c72bf46a7e3a7c0bdf62cf771a68e7d2,voxforge_ru_mdc_2026_05:contributor:da31b47d782c21369a0ff71b5c057894c72bf46a7e3a7c0bdf62cf771a68e7d2,e501926c02370e6202a91c78153cc9e8ce0c6ac7887d04404834a0264f93221d,0c2c2c107aceb34a657607856b13c96e62ea5f681ac615972bd3b07fc073afda
35,voxforge_ru_mdc_2026_05:submission:8ea1545cb39e564bb3ec5eddb1fbb84136c745569065918b32a46dd52a21b07c:prompt:ru_0033,8ea1545cb39e564bb3ec5eddb1fbb84136c745569065918b32a46dd52a21b07c,ru_0033,voxforge_ru_mdc_2026_05:contributor:18ac3e7343f016890c510e93f935261169d9e3f565436429830faf0934f4f8e4,voxforge_ru_mdc_2026_05:contributor:18ac3e7343f016890c510e93f935261169d9e3f565436429830faf0934f4f8e4,cee5a0689f271ea4ac1cf2d8575afaf53f78349df198a662788902b7560ba442,fb2bd7a623db51e40776ac34f477d9d1b4b3bf4c914ec3756a3d03dc63333f99
36,voxforge_ru_mdc_2026_05:submission:8d315396c67dc61a0161f713cb66e4bd7673299ae820b47ced950be9090f7aa5:prompt:ru_0042,8d315396c67dc61a0161f713cb66e4bd7673299ae820b47ced950be9090f7aa5,ru_0042,voxforge_ru_mdc_2026_05:contributor:eeecf85814215b61dd9f7728f2d2011fd2b615b4fdaee0edd207dfefe3612cdf,voxforge_ru_mdc_2026_05:contributor:eeecf85814215b61dd9f7728f2d2011fd2b615b4fdaee0edd207dfefe3612cdf,a3bb152d6847e5ffbcca56059d62004bafe22b46e02f93db6f7a9d9d2db4e788,1bf90098b9351e510199d01320073e1c773d780e15eaba746fd51b94c75a0667
37,voxforge_ru_mdc_2026_05:submission:382e7d56b8567bcc9266ac77d293f61c2963b497d05a62b09bda0192d0ae51c0:prompt:ru_0031,382e7d56b8567bcc9266ac77d293f61c2963b497d05a62b09bda0192d0ae51c0,ru_0031,voxforge_ru_mdc_2026_05:contributor:8e9f72765fc53c54bc6dab5ec116958b9c7a029e9cb3366a8c90ee6e510d6ed7,voxforge_ru_mdc_2026_05:contributor:8e9f72765fc53c54bc6dab5ec116958b9c7a029e9cb3366a8c90ee6e510d6ed7,09f3b1605aa5a29e6ae6f1eb5c38be6c0999d7580a90c30069d88ba1308fafaa,3031721aa1af36b51e0669c11ba70ce57dced976f6604fdb304599aa159f0f77
38,voxforge_ru_mdc_2026_05:submission:7da85847012924ce347c09acf11e9d80b5ab0a4a6b53f65a2782792530c5a9bb:prompt:ru_0060,7da85847012924ce347c09acf11e9d80b5ab0a4a6b53f65a2782792530c5a9bb,ru_0060,voxforge_ru_mdc_2026_05:contributor:4addb0d86cbd710c1b825311d1629d29238a16a06c177c4d8e44f1f685caf86f,voxforge_ru_mdc_2026_05:contributor:4addb0d86cbd710c1b825311d1629d29238a16a06c177c4d8e44f1f685caf86f,ac182ebe981e0bcca10e52fe3206cb47332dd50cb53ad51251c055e8abe58739,0b8c2e6fe535c10cbc69e960e3462a4c6bba07636a9995693b3d5ca37e3775cf
39,voxforge_ru_mdc_2026_05:submission:d5028e15fa24e97a68a6bd40c36d0a24bf9fc3fcebebc022ca0fd4e9ef27e3d1:prompt:ru_0010,d5028e15fa24e97a68a6bd40c36d0a24bf9fc3fcebebc022ca0fd4e9ef27e3d1,ru_0010,voxforge_ru_mdc_2026_05:contributor:b5529fbc65bf00ae4e0c7e5b3ebb8674efd3b6d26311fb89ce027781ee6b7e21,voxforge_ru_mdc_2026_05:contributor:b5529fbc65bf00ae4e0c7e5b3ebb8674efd3b6d26311fb89ce027781ee6b7e21,1d3321395e14f6cf4dd80204e2e80181721f9fb68689edbd4d5f9fcc8cfc3bba,bc9c83448dd9f26f34cb8de4b76f3a6f99d808af7c31d5abae45c358ac7278ac
40,voxforge_ru_mdc_2026_05:submission:425edaf03f3dbe92114eeeadfbbe9357caff8686a46dc6a3b50bf36cf8232bfb:prompt:ru_0045,425edaf03f3dbe92114eeeadfbbe9357caff8686a46dc6a3b50bf36cf8232bfb,ru_0045,voxforge_ru_mdc_2026_05:contributor:b8e2972393027e755a0f42299226d046c1002cc01901880ced15c20952249d51,voxforge_ru_mdc_2026_05:contributor:b8e2972393027e755a0f42299226d046c1002cc01901880ced15c20952249d51,032ca5e9a5158ae437074ad928a40d019e66aa4f04ad21f2a3ef5acd35d1029e,9bfc6fa07922479d6bca068f606a3f9d04391935e3cf7d63c6f80b1f7e8352d8
41,voxforge_ru_mdc_2026_05:submission:fbb515a559bc39c9986ee2df9977154bacafea379b8286cea2f0f0b8375f5571:prompt:ru_0074,fbb515a559bc39c9986ee2df9977154bacafea379b8286cea2f0f0b8375f5571,ru_0074,voxforge_ru_mdc_2026_05:contributor:f5c452f96f0ce100a77a2e055dac0b08b8c48abaea9927cbe05a26afb9cba201,voxforge_ru_mdc_2026_05:contributor:f5c452f96f0ce100a77a2e055dac0b08b8c48abaea9927cbe05a26afb9cba201,e7248db87c91831fcc43bf245ca2f16e591b8e859ed71d95e910a0457e47bacf,d55bde6f5af0e3ff221e51b80ec2fa1bae6e6792ec60afb88f35ae25472b8757
